,Manufacturer,Classification,Designation,Primary Data,,,Refractive Indices,,,,,Dispersions,,,,,,Coefficients of Dispersion Formulae,,,,,,,Relative Internal Transmittance (at 10mm Thickness),,,,,,,,,,,Remarks,,,
,manufacturer,classification,glass,nd,vd,ve,nC,nd,ne,nF,ng,nF-nC,nd-nC,ng-nF,"?d,C","?g,F","??g,F",Formula,a1,a2,a3,a4,a5,a6,?0.80,?0.05,800nm,700nm,600nm,550nm,500nm,460nm,400nm,380nm,Std. Deviation,Precision Molding, i-line Capable,High Homogeneity,Other Comments
628,Hikari,Lanthanide,J-LASFH24HS,1.902,25.26,25.06,1.8918,1.902,1.9104,1.9275,1.9495,0.035704,0.0102,0.022,0.2864,0.6166,0.0146,"Sellmeier, n=3",1.074930290E-01,8.155324580E+01,2.932238610E-02,6.080316110E-02,4.202016750E-01,8.517136930E-03,400,367,99.80%,99.40%,98.70%,98.40%,97.40%,95.80%,80.00%,43.00%,19.72%,Not Specified,Not Specified,Not Specified,Transmission improved type.
110,Ohara,Lanthanide,S-LAH88,1.9165,31.6,31.4,1.908,1.9165,1.9234,1.937,1.9542,0.029,0.008465,0.017142,0.2919,0.5911,0.0008,"Sellmeier, n=3",2.128443400E+00,4.050821390E-01,1.679184610E+00,1.173098150E-02,5.087065990E-02,1.070914560E+02,389,353,99.90%,99.60%,99.60%,99.40%,98.70%,97.30%,87.00%,68.00%,11.24%,Not Specified,Not Specified,Available,
245,Hoya,Lanthanide,TaFD35,1.9108,35.25,35.01,1.9032,1.9108,1.917,1.9291,1.9441,0.02584,0.00759,0.01505,0.2937,0.58243,-0.0027,"Schott, n=2 m=4",3.527474700E+00,-1.48E-02,3.974540200E-02,1.803472000E-03,-8.93E-05,1.137778300E-05,386,351,99.60%,99.50%,99.30%,99.30%,98.40%,96.60%,87.90%,73.00%,9.42%,Not Specified,Not Specified,Not Specified,
844,CDGM,Lanthanide,H-ZLaF4LA,1.9108,35.25,35,1.9032,1.9108,1.9169,1.9291,1.9441,0.025839,0.007584,0.01507,0.2935,0.5832,-0.0024,"Sellmeier, n=3",2.212551000E+00,1.181725400E-02,3.125426160E-01,4.958625800E-02,1.568624570E+00,1.155264900E+02,,355,99.20%,99.20%,99.20%,98.80%,97.60%,95.00%,82.10%,62.90%,13.02%,Not Specified,Not Specified,Not Specified,
845,CDGM,Lanthanide,H-ZLaF4LB,1.9108,35.28,35.03,1.9032,1.9108,1.9169,1.9291,1.9441,0.025815,0.007576,0.01506,0.2935,0.5834,-0.0022,"Sellmeier, n=3",3.037875400E-01,5.008773200E-02,2.221459310E+00,1.187582600E-02,1.549686850E+00,1.139576670E+02,,355,99.80%,99.80%,99.60%,99.40%,98.30%,96.40%,84.10%,65.60%,12.23%,Not Specified,Not Specified,Not Specified,
113,Ohara,Lanthanide,S-LAH93,1.9053,35,34.8,1.8977,1.9053,1.9114,1.9235,1.9386,0.02583,0.007573,0.015109,0.2931,0.5848,0,"Sellmeier, n=3",2.178843780E+00,3.255086830E-01,1.706086460E+00,1.157608790E-02,4.959825030E-02,1.289135800E+02,397,353,99.90%,99.80%,99.80%,99.60%,98.40%,95.90%,82.00%,65.00%,12.68%,Not Specified,Not Specified,Available,
617,Hikari,Lanthanide,J-LASFH13,1.9037,31.27,31.04,1.8953,1.9037,1.9105,1.9241,1.9413,0.028895,0.008406,0.017187,0.2909,0.5948,0.0029,"Sellmeier, n=3",1.331019660E-01,9.962196700E+01,2.601389030E-02,5.276688330E-02,4.270584880E-01,7.327856650E-03,397,359,98.20%,98.60%,98.40%,97.90%,96.70%,94.60%,82.00%,61.00%,13.30%,Not Specified,Not Specified,Not Specified,
114,Ohara,Lanthanide,S-LAH95,1.9037,31.3,31.1,1.8953,1.9037,1.9105,1.9241,1.9413,0.02883,0.008383,0.017192,0.2908,0.5963,0.0055,"Sellmeier, n=3",2.156366170E+00,3.295581780E-01,1.721789350E+00,1.228805100E-02,5.555078350E-02,1.244393400E+02,400,360,99.80%,99.50%,99.50%,99.20%,98.00%,95.60%,80.00%,56.00%,15.61%,Not Specified,Not Specified,Available,
241,Hoya,Lanthanide,TaFD25,1.9037,31.32,31.08,1.8953,1.9037,1.9105,1.9241,1.9413,0.02886,0.0084,0.01716,0.291,0.594595,0.0028,"Schott, n=2 m=4",3.490552800E+00,-1.63E-02,4.114632200E-02,2.716912400E-03,-1.83E-04,2.064186200E-05,393,359,99.70%,99.50%,99.50%,99.60%,98.60%,96.90%,85.40%,61.90%,13.33%,Not Specified,Not Specified,Not Specified,
865,CDGM,Lanthanide,H-ZLaF75A,1.9037,31.32,31.08,1.8953,1.9037,1.9105,1.9241,1.9413,0.028857,0.0084,0.01713,0.2911,0.5935,0.0012,"Schott, n=2 m=4",3.487513240E+00,-1.50E-02,4.322880950E-02,2.105922060E-03,-1.00E-04,1.623266330E-05,,360,99.50%,99.30%,99.30%,99.10%,97.70%,95.50%,82.70%,62.50%,13.17%,Not Specified,Not Specified,Not Specified,
351,Hoya,Lanthanide,MP-TAFD307,1.882,37.22,36.97,1.875,1.882,1.8876,1.8987,1.9124,0.02369,0.007,0.0137,0.2949,0.577037,-0.0044,"Schott, n=2 m=4",3.428606200E+00,-1.87E-01,5.056533406E-01,5.921949732E-02,-1.08E-02,1.284672756E-02,389,350,99.80%,99.90%,99.80%,99.60%,98.70%,97.10%,87.50%,70.30%,10.48%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
352,Hoya,Lanthanide,MC-TAFD307,1.882,37.22,36.97,1.875,1.882,1.8876,1.8987,1.9124,0.02369,0.007,0.0137,0.2949,0.577037,-0.0044,"Schott, n=2 m=4",3.428606200E+00,-1.87E-01,5.056533406E-01,5.921949732E-02,-1.08E-02,1.284672756E-02,384,351,99.60%,99.50%,99.40%,99.30%,98.60%,97.50%,89.80%,74.90%,8.70%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
